Rank,Title,Comment,Score,Url
1,肖申克的救赎/The Shawshank Redemption/月黑高飞(港)  /  刺激1995(台),希望让人自由。,9.6,https://movie.douban.com/subject/1292052/
2,霸王别姬/再见，我的妾  /  Farewell My Concubine,风华绝代。,9.6,https://movie.douban.com/subject/1291546/
3,这个杀手不太冷/Léon/杀手莱昂  /  终极追杀令(台),怪蜀黍和小萝莉不得不说的故事。,9.4,https://movie.douban.com/subject/1295644/
4,阿甘正传/Forrest Gump/福雷斯特·冈普,一部美国近现代史。,9.4,https://movie.douban.com/subject/1292720/
5,美丽人生/La vita è bella/一个快乐的传说(港)  /  Life Is Beautiful,最美的谎言。,9.5,https://movie.douban.com/subject/1292063/
6,泰坦尼克号/Titanic/铁达尼号(港 / 台),失去的才是永恒的。 ,9.4,https://movie.douban.com/subject/1292722/
7,千与千寻/千と千尋の神隠し/神隐少女(台)  /  千与千寻的神隐,最好的宫崎骏，最好的久石让。 ,9.3,https://movie.douban.com/subject/1291561/
8,辛德勒的名单/Schindler's List/舒特拉的名单(港)  /  辛德勒名单,拯救一个人，就是拯救整个世界。,9.5,https://movie.douban.com/subject/1295124/
9,盗梦空间/Inception/潜行凶间(港)  /  全面启动(台),诺兰给了我们一场无法盗取的梦。,9.3,https://movie.douban.com/subject/3541415/
10,忠犬八公的故事/Hachi: A Dog's Tale/忠犬小八(台)  /  秋田犬八千(港),永远都不能忘记你所爱的人。,9.3,https://movie.douban.com/subject/3011091/
11,机器人总动员/WALL·E/瓦力(台)  /  太空奇兵·威E(港),小瓦力，大人生。,9.3,https://movie.douban.com/subject/2131459/
12,三傻大闹宝莱坞/3 Idiots/三个傻瓜(台)  /  作死不离3兄弟(港),英俊版憨豆，高情商版谢耳朵。,9.2,https://movie.douban.com/subject/3793023/
13,放牛班的春天/Les choristes/歌声伴我心(港)  /  唱诗班男孩,天籁一般的童声，是最接近上帝的存在。 ,9.3,https://movie.douban.com/subject/1291549/
14,海上钢琴师/La leggenda del pianista sull'oceano/声光伴我飞(港)  /  一九零零的传奇,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,https://movie.douban.com/subject/1292001/
15,楚门的世界/The Truman Show/真人Show(港)  /  真人戏,如果再也不能见到你，祝你早安，午安，晚安。,9.2,https://movie.douban.com/subject/1292064/
16,大话西游之大圣娶亲/西遊記大結局之仙履奇緣/西游记完结篇仙履奇缘  /  齐天大圣西游记,一生所爱。,9.2,https://movie.douban.com/subject/1292213/
17,星际穿越/Interstellar/星际启示录(港)  /  星际效应(台),爱是一种力量，让我们超越时空感知它的存在。,9.2,https://movie.douban.com/subject/1889243/
18,龙猫/となりのトトロ/邻居托托罗  /  邻家的豆豆龙,人人心中都有个龙猫，童年就永远不会消失。,9.2,https://movie.douban.com/subject/1291560/
19,教父/The Godfather/Mario Puzo's The Godfather,千万不要记恨你的对手，这样会让你失去理智。,9.3,https://movie.douban.com/subject/1291841/
20,熔炉/도가니/无声呐喊(港)  /  漩涡,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,https://movie.douban.com/subject/5912992/
21,无间道/無間道/Infernal Affairs  /  Mou gaan dou,香港电影史上永不过时的杰作。,9.2,https://movie.douban.com/subject/1307914/
22,疯狂动物城/Zootopia/优兽大都会(港)  /  动物方城市(台),迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,https://movie.douban.com/subject/25662329/
23,当幸福来敲门/The Pursuit of Happyness/寻找快乐的故事(港)  /  追求快乐,平民励志片。 ,9.1,https://movie.douban.com/subject/1849031/
24,怦然心动/Flipped/萌动青春  /  青春萌动,真正的幸福是来自内心深处。,9.0,https://movie.douban.com/subject/3319755/
25,触不可及/Intouchables/闪亮人生(港)  /  逆转人生(台),满满温情的高雅喜剧。,9.2,https://movie.douban.com/subject/6786002/
26,蝙蝠侠：黑暗骑士/The Dark Knight/蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),无尽的黑暗。,9.1,https://movie.douban.com/subject/1851857/
27,乱世佳人/Gone with the Wind/飘,Tomorrow is another day.,9.3,https://movie.douban.com/subject/1300267/
28,活着/人生  /  Lifetimes,张艺谋最好的电影。,9.2,https://movie.douban.com/subject/1292365/
29,控方证人/Witness for the Prosecution/雄才伟略  /  情妇,比利·怀德满分作品。,9.6,https://movie.douban.com/subject/1296141/
30,少年派的奇幻漂流/Life of Pi/少年Pi的奇幻漂流  /  漂流少年Pi,瑰丽壮观、无人能及的冒险之旅。,9.0,https://movie.douban.com/subject/1929463/
31,指环王3：王者无敌/The Lord of the Rings: The Return of the King/魔戒三部曲：王者再临(台 / 港),史诗的终章。,9.2,https://movie.douban.com/subject/1291552/
32,天堂电影院/Nuovo Cinema Paradiso/星光伴我心(港)  /  新天堂乐园(台),那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,https://movie.douban.com/subject/1291828/
33,天空之城/天空の城ラピュタ/Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,对天空的追逐，永不停止。 ,9.1,https://movie.douban.com/subject/1291583/
34,鬼子来了/Devils on the Doorstep,对敌人的仁慈，就是对自己残忍。,9.2,https://movie.douban.com/subject/1291858/
35,摔跤吧！爸爸/Dangal/我和我的冠军女儿(台)  /  打死不离3父女(港),你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.0,https://movie.douban.com/subject/26387939/
36,十二怒汉/12 Angry Men/12怒汉  /  十二怒汉,1957年的理想主义。 ,9.4,https://movie.douban.com/subject/1293182/
37,飞屋环游记/Up/冲天救兵(港)  /  天外奇迹(台),最后那些最无聊的事情，才是最值得怀念的。 ,9.0,https://movie.douban.com/subject/2129039/
38,大话西游之月光宝盒/西遊記第壹佰零壹回之月光寶盒/西游记101回月光宝盒  /  齐天大圣东游记,旷古烁今。,9.0,https://movie.douban.com/subject/1299398/
39,哈尔的移动城堡/ハウルの動く城/呼啸山城  /  霍尔的移动城堡,带着心爱的人在天空飞翔。,9.0,https://movie.douban.com/subject/1308807/
40,搏击俱乐部/Fight Club/搏击会(港)  /  斗阵俱乐部(台),邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,https://movie.douban.com/subject/1292000/
41,罗马假日/Roman Holiday/金枝玉叶(港)  /  罗马假期(台),爱情哪怕只有一天。,9.0,https://movie.douban.com/subject/1293839/
42,闻香识女人/Scent of a Woman/女人香  /  女人的芳香,史上最美的探戈。,9.0,https://movie.douban.com/subject/1298624/
43,末代皇帝/The Last Emperor/末代皇帝溥仪(港),“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.2,https://movie.douban.com/subject/1293172/
44,寻梦环游记/Coco/可可夜总会(台)  /  玩转极乐园(港),死亡不是真的逝去，遗忘才是永恒的消亡。,9.0,https://movie.douban.com/subject/20495023/
45,辩护人/변호인/逆权大状(港)  /  正义辩护人(台),电影的现实意义大过电影本身。,9.2,https://movie.douban.com/subject/21937445/
46,窃听风暴/Das Leben der Anderen/窃听者(港)  /  他人的生活,别样人生。,9.1,https://movie.douban.com/subject/1900841/
47,素媛/소원/许愿  /  希望：为爱重生(台),受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.2,https://movie.douban.com/subject/21937452/
48,死亡诗社/Dead Poets Society/暴雨骄阳(港)  /  春风化雨(台),当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0,https://movie.douban.com/subject/1291548/
49,"两杆大烟枪/Lock, Stock and Two Smoking Barrels/够姜四小强(港)  /  两根枪管(台)",4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,https://movie.douban.com/subject/1293350/
50,飞越疯人院/One Flew Over the Cuckoo's Nest/飞越杜鹃窝(台)  /  飞越喜鹊巢,自由万岁。,9.1,https://movie.douban.com/subject/1292224/
